question_1,question_2,cosine_similarity
毛布は洗えますか？,おしゃれ着コースはありますか？,0.8242693467945701
「水が出ない」エラーが出ます,「排水できない」エラーが出ます,0.8178025274300873
運転終了時にアラームを鳴らさないようにできますか？,設定の初期化はできますか？,0.8035022932551839
ドアが開かないのですが,ドラムが動きません,0.7925630185619608
毛布は洗えますか？,予約機能の使い方をおしえて？,0.7888487077902379
本体がぐらつきます。どうしたら良いですか？,水漏れしています。どうしたらよいですか？,0.7886625062187997
異音がします。どうしたらよいですか？,水漏れしています。どうしたらよいですか？,0.7847401867929756
毛布は洗えますか？,羽毛布団は洗えますか？,0.7844700478513831
異音がします。どうしたらよいですか？,本体がぐらつきます。どうしたら良いですか？,0.7824653316772701
洗濯だけする方法を教えて？,予約機能の使い方をおしえて？,0.7800723727397768
異音がします。どうしたらよいですか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.7766627210053183
洗濯だけする方法を教えて？,毛布は洗えますか？,0.7738940185278593
ふんわりキープとは何ですか？,靴は洗えますか？,0.7726114885663461
乾燥だけで使用出来ますか？,洗濯だけする方法を教えて？,0.7721514354271364
洗濯だけする方法を教えて？,ふんわりキープとは何ですか？,0.7718002051702156
スチーム機能の使い方を教えて？,ふんわりキープとは何ですか？,0.7623484778796006
羽毛布団は洗えますか？,コースが表示されないのですが,0.7621097651883508
手動で個別に設定する事は可能ですか？,脱水時間の変更は可能ですか？,0.7568332742868258
おしゃれ着コースはありますか？,予約機能の使い方をおしえて？,0.754668721379057
乾燥だけで使用出来ますか？,予約機能の使い方をおしえて？,0.7537358582932734
ドアが開かないのですが,一時停止中にドアは開きますか？,0.7535853107533735
洗濯だけする方法を教えて？,おしゃれ着コースはありますか？,0.7504399236795425
洗剤を手動で投入できますか？,運転終了時にアラームを鳴らさないようにできますか？,0.7488823344136207
洗濯だけする方法を教えて？,ナノイーXとは何ですか？,0.7456600496837272
自動投入機能の使い方を教えて？,靴は洗えますか？,0.7368481061744508
洗濯をスタートする方法を教えて？,洗濯の途中で一時停止できますか？,0.7366601609557298
おしゃれ着コースはありますか？,靴は洗えますか？,0.7326444407893118
ナノイーXとは何ですか？,おしゃれ着コースはありますか？,0.7315744743430863
洗濯物に白い粉が残っています。　どうしたらよいですか？,本体がぐらつきます。どうしたら良いですか？,0.7300146871169505
洗濯物に白い粉が残っています。　どうしたらよいですか？,水漏れしています。どうしたらよいですか？,0.7296930187296504
羽毛布団は洗えますか？,靴は洗えますか？,0.7283896372035494
おすすめのコースを教えて？,靴は洗えますか？,0.7278154250947548
自動投入機能の使い方を教えて？,予約機能の使い方をおしえて？,0.72465707333245
乾燥だけで使用出来ますか？,洗剤の種類によって設定は変わりますか？,0.7194502909538085
毛布は洗えますか？,コースが表示されないのですが,0.7174933228312692
ナノイーXとは何ですか？,毛布は洗えますか？,0.7168492530255495
乾燥だけで使用出来ますか？,外出先から洗濯を開始できますか？,0.7163660071985696
おしゃれ着コースはありますか？,お急ぎコースはありますか？,0.7159971549685333
ふんわりキープとは何ですか？,毛布は洗えますか？,0.7135858747285644
洗剤の種類によって設定は変わりますか？,予約機能の使い方をおしえて？,0.7117861745766283
洗濯をスタートする方法を教えて？,洗濯だけする方法を教えて？,0.705696610476209
「排水できない」エラーが出ます,水漏れしています。どうしたらよいですか？,0.7053230381285419
毛布は洗えますか？,靴は洗えますか？,0.7049576220725662
洗濯をスタートする方法を教えて？,スチーム機能の使い方を教えて？,0.7045520297946148
洗濯だけする方法を教えて？,靴は洗えますか？,0.7034846861882539
一時停止中にドアは開きますか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.703099961520693
洗剤の種類によって設定は変わりますか？,コースが表示されないのですが,0.7009493644230107
洗濯ネットは必要ですか？,ドラムが動きません,0.7008706838380737
すすぎの設定を変更することは可能ですか？,洗剤の種類によって設定は変わりますか？,0.6997115765011503
お急ぎコースはありますか？,洗濯時間は何分ですか？,0.6995240082265659
一時停止中にドアは開きますか？,本体がぐらつきます。どうしたら良いですか？,0.6989858126913593
おすすめのコースを教えて？,脱水時間の変更は可能ですか？,0.6985324330663212
乾燥だけで使用出来ますか？,ふんわりキープとは何ですか？,0.6961758659459647
洗濯だけする方法を教えて？,洗剤の種類によって設定は変わりますか？,0.6961207937949542
ドアが開かないのですが,洗濯ネットは必要ですか？,0.695976507016582
すすぎの設定を変更することは可能ですか？,脱水時間の変更は可能ですか？,0.6942642177738467
ナノイーXとは何ですか？,予約機能の使い方をおしえて？,0.692624978823069
洗濯だけする方法を教えて？,スチーム機能の使い方を教えて？,0.6921375144672767
靴は洗えますか？,コースが表示されないのですが,0.6920626689340279
洗濯物が絡まります。どうしたらよいですか？,水漏れしています。どうしたらよいですか？,0.6920411735345198
乾燥だけで使用出来ますか？,毛布は洗えますか？,0.690680829598145
洗濯だけする方法を教えて？,羽毛布団は洗えますか？,0.6891391982677152
毛布は洗えますか？,洗剤の種類によって設定は変わりますか？,0.6889746820731804
乾燥だけで使用出来ますか？,2度洗いは出来ますか？,0.6886951627370894
洗剤を手動で投入できますか？,設定の初期化はできますか？,0.6881017189094548
「水が出ない」エラーが出ます,水漏れしています。どうしたらよいですか？,0.6868428683386514
ふんわりキープとは何ですか？,羽毛布団は洗えますか？,0.6867507964205535
洗濯だけする方法を教えて？,自動投入機能の使い方を教えて？,0.6860546817537406
外出先から洗濯を開始できますか？,コースが表示されないのですが,0.6856305508189275
ふんわりキープとは何ですか？,おしゃれ着コースはありますか？,0.6835813532191651
洗濯物が絡まります。どうしたらよいですか？,異音がします。どうしたらよいですか？,0.6830718635323005
ふんわりキープとは何ですか？,予約機能の使い方をおしえて？,0.6823568553462895
おしゃれ着コースはありますか？,コースが表示されないのですが,0.6803778485836094
一時停止中にドアは開きますか？,水漏れしています。どうしたらよいですか？,0.6800219182406266
ジェット乾燥とは何ですか？,ふんわりキープとは何ですか？,0.678965098408621
手動で個別に設定する事は可能ですか？,洗剤の種類によって設定は変わりますか？,0.6788811905354168
乾燥だけで使用出来ますか？,洗濯ネットは必要ですか？,0.6786421623068009
チャイルドロックの設定をしたい,予約機能の使い方をおしえて？,0.6784760612389908
本体がぐらつきます。どうしたら良いですか？,「水が出ない」エラーが出ます,0.678078667927838
おすすめのコースを教えて？,ふんわりキープとは何ですか？,0.6780246672567654
ふんわりキープとは何ですか？,ドアが開かないのですが,0.6773663101001333
自動投入機能の使い方を教えて？,洗剤の種類によって設定は変わりますか？,0.6767331444850075
洗濯をスタートする方法を教えて？,お急ぎコースはありますか？,0.6751144515928265
